bag_id,bag_label,group,feature_type,attention_subset,feature,value,n_instances,mean_attention,median_attention,sd_attention
bag_000,1,B,repertoire,rest,repertoire_0,0.38404434488400674,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_1,0.1649832191886251,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_10,-0.6069485972530108,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_11,-0.059309916677730196,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_2,-0.28860915111016694,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_3,-0.06361503102321674,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_4,-0.03295737433554375,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_5,-0.5066789724648229,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_6,0.5536476157779219,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_7,-0.42129453162879166,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_8,0.5346276930279621,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,rest,repertoire_9,0.336714583596278,9,0.02305451925430033,0.022694582119584084,0.002452769512564618
bag_000,1,B,repertoire,top,repertoire_0,-0.6538783085354755,2,0.04709043726325035,0.04709043726325035,0.000343091151946869
bag_000,1,B,repertoire,top,repertoire_1,-0.23396270929357882,2,0.04709043726325035,0.04709043726325035,0.000343091151946869
bag_000,1,B,repertoire,top,repertoire_10,1.7710194624631368,2,0.04709043726325035,0.04709043726325035,0.000343091151946869
bag_000,1,B,repertoire,top,repertoire_11,0.46952126984664727,2,0.04709043726325035,0.04709043726325035,0.000343091151946869
